日期,持仓市值,现金,持仓点数,累计投入
2022-09-02,104610.82343175149,16777.216,35.35262927420064,83222.78400000001
2022-09-05,105614.1310505533,16777.216,35.35262927420064,83222.78400000001
2022-09-06,106203.10585426148,16777.216,35.35262927420064,83222.78400000001
2022-09-07,105871.85171796224,13421.7728,36.68406453452038,86578.22720000001
2022-09-08,105919.5410018571,13421.7728,36.68406453452038,86578.22720000001
2022-09-09,106692.10740095412,13421.7728,36.68406453452038,86578.22720000001
2022-09-13,106433.11790534039,13421.7728,36.68406453452038,86578.22720000001
2022-09-14,105694.30084561514,10737.41824,37.75126230181135,89262.58176000002
2022-09-15,105681.46541643252,10737.41824,37.75126230181135,89262.58176000002
2022-09-16,103255.19178829511,10737.41824,37.75126230181135,89262.58176000002
2022-09-19,102967.52716955531,10737.41824,37.75126230181135,89262.58176000002
2022-09-20,102893.15718282075,10737.41824,37.75126230181135,89262.58176000002
2022-09-21,103651.20252984112,10737.41824,37.75126230181135,89262.58176000002
2022-09-22,103299.36076518823,10737.41824,37.75126230181135,89262.58176000002
2022-09-23,103194.78976861222,10737.41824,37.75126230181135,89262.58176000002
2022-09-26,101099.59471086168,10737.41824,37.75126230181135,89262.58176000002
2022-09-27,102039.22362955377,10737.41824,37.75126230181135,89262.58176000002
2022-09-28,101256.63996203722,10737.41824,37.75126230181135,89262.58176000002
2022-09-29,100503.8797917391,10737.41824,37.75126230181135,89262.58176000002
2022-09-30,100914.99103820583,10737.41824,37.75126230181135,89262.58176000002
2022-10-10,100887.05510410247,10737.41824,37.75126230181135,89262.58176000002
2022-10-11,101039.57020380182,10737.41824,37.75126230181135,89262.58176000002
2022-10-12,102104.91082595893,10737.41824,37.75126230181135,89262.58176000002
2022-10-13,101765.90449048865,10737.41824,37.75126230181135,89262.58176000002
2022-10-14,102799.53405231226,10737.41824,37.75126230181135,89262.58176000002
2022-10-17,102816.52212034806,10737.41824,37.75126230181135,89262.58176000002
2022-10-18,102852.00830691177,10737.41824,37.75126230181135,89262.58176000002
2022-10-19,102213.63446138814,10737.41824,37.75126230181135,89262.58176000002
2022-10-20,101782.89255852446,10737.41824,37.75126230181135,89262.58176000002
2022-10-21,102024.50063725606,10737.41824,37.75126230181135,89262.58176000002
2022-10-24,100352.49722990884,10737.41824,37.75126230181135,89262.58176000002
2022-10-25,100075.40296461353,10737.41824,37.75126230181135,89262.58176000002
2022-10-26,100125.61214347497,10737.41824,37.75126230181135,89262.58176000002
2022-10-27,100606.18571257702,10737.41824,37.75126230181135,89262.58176000002
2022-10-28,98873.78028554689,10737.41824,37.75126230181135,89262.58176000002
2022-10-31,98021.73429539501,10737.41824,37.75126230181135,89262.58176000002
2022-11-01,99053.09878148048,10737.41824,37.75126230181135,89262.58176000002
2022-11-02,99347.93614005763,10737.41824,37.75126230181135,89262.58176000002
2022-11-03,98960.60818884106,10737.41824,37.75126230181135,89262.58176000002
2022-11-04,100079.93311608977,10737.41824,37.75126230181135,89262.58176000002
2022-11-07,100339.66180072622,10737.41824,37.75126230181135,89262.58176000002
2022-11-08,100384.20829024236,10737.41824,37.75126230181135,89262.58176000002
2022-11-09,100434.7949817268,10737.41824,37.75126230181135,89262.58176000002
2022-11-10,100640.53936127166,10737.41824,37.75126230181135,89262.58176000002
2022-11-11,102018.46043528778,10737.41824,37.75126230181135,89262.58176000002
2022-11-14,102579.06668046967,10737.41824,37.75126230181135,89262.58176000002
2022-11-15,103220.83813960047,10737.41824,37.75126230181135,89262.58176000002
2022-11-16,102900.7074352811,10737.41824,37.75126230181135,89262.58176000002
2022-11-17,103200.82997058051,10737.41824,37.75126230181135,89262.58176000002
2022-11-18,102978.47503562283,10737.41824,37.75126230181135,89262.58176000002
2022-11-21,102724.40904033164,10737.41824,37.75126230181135,89262.58176000002
2022-11-22,103658.75278230147,10737.41824,37.75126230181135,89262.58176000002
2022-11-23,104014.74718580756,10737.41824,37.75126230181135,89262.58176000002
2022-11-24,104234.4595324041,10737.41824,37.75126230181135,89262.58176000002
2022-11-25,105454.20281737561,10737.41824,37.75126230181135,89262.58176000002
2022-11-28,105160.87550929055,10737.41824,37.75126230181135,89262.58176000002
2022-11-29,107223.2269688385,10737.41824,37.75126230181135,89262.58176000002
2022-11-30,107206.6164134257,10737.41824,37.75126230181135,89262.58176000002
2022-12-01,106749.44862695078,10737.41824,37.75126230181135,89262.58176000002
2022-12-02,106670.17097611696,10737.41824,37.75126230181135,89262.58176000002
2022-12-05,109138.72601803242,10737.41824,37.75126230181135,89262.58176000002
