日期,持仓市值,现金,持仓点数,持仓状态,年份
2012-01-30,89604.39960152196,23921.565104771504,80.81554536665698,1.0,2012
2012-01-31,89744.21049500628,23921.565104771504,80.81554536665698,1.0,2012
2012-02-01,89239.11333646467,23921.565104771504,80.81554536665698,1.0,2012
2012-02-02,90437.6078742522,23921.565104771504,80.81554536665698,1.0,2012
2012-02-03,91237.68177338211,23921.565104771504,80.81554536665698,1.0,2012
2012-02-06,91473.66316585275,23921.565104771504,80.81554536665698,1.0,2012
2012-02-07,90215.36512449388,23921.565104771504,80.81554536665698,1.0,2012
2012-02-08,91677.31834017672,23921.565104771504,80.81554536665698,1.0,2012
2012-02-09,91922.99759809136,23921.565104771504,80.81554536665698,1.0,2012
2012-02-10,91935.11992989636,23921.565104771504,80.81554536665698,1.0,2012
2012-02-13,92116.95490697134,23921.565104771504,80.81554536665698,1.0,2012
2012-02-14,91848.64729635403,23921.565104771504,80.81554536665698,1.0,2012
2012-02-15,92549.31807468295,23921.565104771504,80.81554536665698,1.0,2012
2012-02-16,92415.97242482795,23921.565104771504,80.81554536665698,1.0,2012
2012-02-17,92296.3654176853,23921.565104771504,80.81554536665698,1.0,2012
2012-02-20,92385.26251758864,23921.565104771504,80.81554536665698,1.0,2012
2012-02-21,92849.14374799324,92849.14374799324,0.0,0.0,2012
2012-02-22,92849.14374799324,46424.57187399662,53.57155272273695,0.5,2012
2012-02-23,92915.0367578422,92915.0367578422,0.0,0.0,2012
2012-02-24,92915.0367578422,46457.5183789211,52.814240347097794,0.5,2012
2012-02-27,93139.49727931737,93139.49727931737,0.0,0.0,2012
2012-02-28,93139.49727931737,46569.74863965868,52.542815957733865,0.5,2012
2012-02-29,92608.81483814426,92608.81483814426,0.0,0.0,2012
2012-03-01,92608.81483814426,46304.40741907213,52.623428742467645,0.5,2012
2012-03-02,93400.27120643097,93400.27120643097,0.0,0.0,2012
2012-03-05,93400.27120643097,46700.13560321549,52.47913831439687,0.5,2012
2012-03-06,92808.30652624459,46700.13560321549,52.47913831439687,0.5,2012
2012-03-07,92580.5470659601,46700.13560321549,52.47913831439687,0.5,2012
2012-03-08,93123.18135613095,46700.13560321549,52.47913831439687,0.5,2012
2012-03-09,93536.19217466527,93536.19217466527,0.0,0.0,2012
2012-03-12,93536.19217466527,46768.09608733263,52.46236071986699,0.5,2012
2012-03-13,93954.3171896026,46768.09608733263,52.46236071986699,0.5,2012
2012-03-14,92397.75894704415,46768.09608733263,52.46236071986699,0.5,2012
2012-03-15,92091.90338404733,46768.09608733263,52.46236071986699,0.5,2012
2012-03-16,92971.1725497123,46768.09608733263,52.46236071986699,0.5,2012
2012-03-19,93136.42898597987,46768.09608733263,52.46236071986699,0.5,2012
2012-03-20,92289.16186035403,46768.09608733263,52.46236071986699,0.5,2012
2012-03-21,92334.2794905731,46768.09608733263,52.46236071986699,0.5,2012
2012-03-22,92278.66938821005,46768.09608733263,52.46236071986699,0.5,2012
2012-03-23,91580.39536702863,46768.09608733263,52.46236071986699,0.5,2012
2012-03-26,91685.84471207556,46768.09608733263,52.46236071986699,0.5,2012
2012-03-27,91541.57322009592,46768.09608733263,52.46236071986699,0.5,2012
2012-03-28,90198.01216206013,23384.048043666317,80.70976422501457,1.0,2012
2012-03-29,89470.81718639276,23384.048043666317,80.70976422501457,1.0,2012
2012-03-30,89761.37233760279,23384.048043666317,80.70976422501457,1.0,2012
2012-04-05,91259.34556161908,23384.048043666317,80.70976422501457,1.0,2012
2012-04-06,91580.57042323463,23384.048043666317,80.70976422501457,1.0,2012
2012-04-09,90955.06975049077,23384.048043666317,80.70976422501457,1.0,2012
2012-04-10,91601.55496193313,23384.048043666317,80.70976422501457,1.0,2012
2012-04-11,91833.19198525892,23384.048043666317,80.70976422501457,1.0,2012
2012-04-12,93072.89396375515,23384.048043666317,80.70976422501457,1.0,2012
2012-04-13,93328.74391634844,23384.048043666317,80.70976422501457,1.0,2012
2012-04-16,93457.07244146623,23384.048043666317,80.70976422501457,1.0,2012
2012-04-17,92890.48989660662,23384.048043666317,80.70976422501457,1.0,2012
